Name	Age	Nationality	Club	Value	Wage
C. Sepúlveda	26.0	Chile	CD Huachipato	850000.0	2000.0
E. Assifuah		Ghana	Le Havre AC	975000.0	3000.0
L. Robles	31.0	Mexico	Puebla FC	2300000.0	3000.0
	24.0	DR Congo	Clermont Foot 63	800000.0	2000.0
C. Handke	29.0	Germany	1. FC Magdeburg	600000.0	5000.0
K. Kratz	31.0	Germany	Atlanta United	675000.0	3000.0
Claude Gonçalves		Portugal	ESTAC Troyes	850000.0	3000.0
D. Swanson	31.0	Scotland	St. Johnstone FC	675000.0	3000.0
G. Trauner	26.0	Austria	LASK Linz	850000.0	4000.0
Accioly	37.0	Brazil	Santa Clara	100000.0	2000.0
G. Iñíguez	24.0	Argentina	Udinese	1000000.0	8000.0
	22.0	England	Queens Park Rangers	900000.0	3000.0
Guarrotxena	25.0	Spain	Pogoń Szczecin	900000.0	3000.0
D. McGowan	26.0	Australia		750000.0	2000.0
B. Sankoh	26.0	Guinea	Stade Malherbe Caen	800000.0	7000.0
	30.0	England	Portsmouth	1100000.0	4000.0
J. Gómez	27.0	Argentina	Unión Española		2000.0
A. Márquez	26.0	Chile		725000.0	3000.0
O. Čelůstka	29.0	Czech Republic		575000.0	6000.0
	31.0	Turkey	Atiker Konyaspor	500000.0	6000.0
C. Mafla	25.0	Colombia	Atlético Nacional	825000.0	2000.0
I. Ochoa	21.0		CD Everton de Viña del Mar	975000.0	6000.0
Fernando Andrade	25.0	Brazil	Santa Clara		2000.0
	30.0	Netherlands	Heracles Almelo	550000.0	3000.0
E. Salomonsson	29.0	Sweden	IFK Göteborg	575000.0	2000.0
A. Iacobucci	27.0		Frosinone	600000.0	4000.0
P. Izzo	23.0	Australia	Adelaide United		1000.0
M. Farrona Pulido	25.0	Germany	VfL Osnabrück	925000.0	2000.0
S. Diarra	23.0	Mali	Racing Club de Lens	1000000.0	3000.0
Frederico Rendel	30.0	Brazil	Cruzeiro	725000.0	9000.0
R. Tait	28.0	Scotland	Motherwell	600000.0	3000.0
Y. Kurtuluş	32.0	Turkey	Antalyaspor	450000.0	6000.0
M. Starke	27.0	Namibia	FC Carl Zeiss Jena	900000.0	1000.0
E. Tozlu	27.0	Turkey	Yeni Malatyaspor	800000.0	5000.0
Javi Flores	32.0	Spain	Elche CF	575000.0	3000.0
R. Cereceda	33.0	Chile	CD O'Higgins	290000.0	3000.0
E. Padella	29.0	Italy	Ascoli		2000.0
B. Bahn	25.0	Germany	Hallescher FC	925000.0	2000.0
J. Miño	30.0	Argentina	Deportes Iquique	575000.0	1000.0
M. Ullmann	22.0	Austria	LASK Linz	1000000.0	3000.0
M. Mandorlini	29.0	Italy	Padova	725000.0	2000.0
J. Fortes	29.0	Cape Verde	Excelsior	575000.0	3000.0
G. Mastinu	26.0	Italy	Spezia	900000.0	2000.0
Alex Doneiro	30.0	Brazil	Atlético Mineiro	725000.0	11000.0
Miguel Oliveira	24.0	Portugal	Vitória Guimarães	700000.0	
J. von Haacke	24.0	Germany	SV Meppen	975000.0	6000.0
Park Jong Woo	29.0	Korea Republic	Suwon Samsung Bluewings	725000.0	3000.0
E. Lieftink	24.0	Netherlands	Willem II	1000000.0	3000.0
	27.0		Real Zaragoza	800000.0	4000.0
Gustavo Pastinho	26.0	Brazil	Internacional		10000.0
D. Perkins		England	Rochdale		2000.0
	29.0	United States		625000.0	2000.0
Varela	23.0	Spain	CF Rayo Majadahonda	5500000.0	2000.0
Pipa	20.0	Spain	RCD Espanyol	975000.0	6000.0
Pardo	30.0	Spain	Extremadura UD	575000.0	3000.0
	24.0	Finland	PEC Zwolle	825000.0	3000.0
J. Rodon	20.0	Wales	Swansea City	1000000.0	
J. Attinella	29.0	United States	Portland Timbers	600000.0	2000.0
A. Mendoza	24.0	Mexico	U.N.A.M.	825000.0	6000.0
P. Zinckernagel	23.0	Denmark	FK Bodø/Glimt	1000000.0	2000.0
E. Güral	29.0	Turkey	Alanyaspor	750000.0	5000.0
Ko Seung Beom	24.0	Korea Republic	Daegu FC	1000000.0	3000.0
E. Bakker	28.0	Netherlands	De Graafschap	750000.0	3000.0
M. Wanitzek	25.0	Germany	Karlsruher SC	950000.0	3000.0
H. Fujiharu	29.0	Japan		575000.0	
S. Sararer	28.0	Turkey	Karlsruher SC	775000.0	3000.0
M. Grimes	22.0	England	Swansea City	1000000.0	8000.0
J. Salas	24.0	Mexico	Cruz Azul	975000.0	7000.0
G. Baldock	25.0	England	Sheffield United	800000.0	4000.0
Y. Nakayama	21.0	Japan	Kashiwa Reysol	925000.0	3000.0
P. Eler	27.0	Slovenia		900000.0	
Nano	33.0	Spain	UD Almería	2500000.0	3000.0
X. Mlambo	27.0		Orlando Pirates	850000.0	1000.0
O. Andrievskyi	24.0	Ukraine	Dynamo Kyiv	925000.0	1000.0
A. Judge	29.0	Republic of Ireland	Brentford	750000.0	16000.0
E. Alvarado	29.0	Costa Rica	Trabzonspor	525000.0	8000.0
Buatu	24.0	Angola	Rio Ave FC	875000.0	3000.0
A. Czerwiński	25.0	Poland	Zagłębie Lubin	800000.0	2000.0
V. Sarno	30.0	Italy	Padova	725000.0	2000.0
M. Pušić	30.0	Austria	SV Mattersburg	725000.0	8000.0
E. Fryers	25.0	England	Barnsley	800000.0	4000.0
	32.0	Argentina	UD Almería	600000.0	4000.0
A. El-Abd	33.0	Egypt	Wycombe Wanderers	300000.0	3000.0
T. Boss	25.0	Germany	SG Dynamo Dresden	750000.0	5000.0
	31.0	Turkey	Antalyaspor	675000.0	6000.0
J. Murillo	24.0		Independiente Medellín	16000000.0	1000.0
S. Jaime	31.0		Unión Española	675000.0	2000.0
M. Bader	21.0	Germany	1. FC Köln	975000.0	5000.0
M. Smith	29.0	Northern Ireland	Heart of Midlothian	900000.0	3000.0
M. Helik	22.0	Poland	Cracovia	875000.0	2000.0
J. Föhrenbach	22.0	Germany	 SSV Jahn Regensburg	875000.0	6000.0
K. Mizunuma	28.0	Japan	Cerezo Osaka	775000.0	3000.0
S. Jamieson	29.0	Australia	Melbourne City FC	575000.0	4000.0
R. Grange	29.0		Sporting de Charleroi	750000.0	5000.0
	28.0	Azerbaijan	FC Erzgebirge Aue	800000.0	4000.0
C. Robles	26.0	Colombia	Deportes Tolima	825000.0	2000.0
M. Akbaş	28.0	Turkey	Trabzonspor	625000.0	10000.0
P. Bouby	34.0	France	US Orléans Loiret Football	230000.0	2000.0
V. Berisha	24.0	Norway	SK Rapid Wien	9500000.0	6000.0
Sérgio Marakis	26.0	Portugal	CD Nacional	775000.0	4000.0
	34.0	Brazil	Atlético Paranaense	400000.0	6000.0
S. Marzo	27.0	Belgium	Sporting Lokeren	625000.0	5000.0
G. Villagra	36.0	Chile	CD Antofagasta		1000.0
Carlos Abad	23.0	Spain	Córdoba CF		2000.0
C. Maguire	29.0	Scotland	Sunderland	750000.0	5000.0
F. Serrarens	27.0	Netherlands	De Graafschap	900000.0	4000.0
K. Løkberg	26.0	Norway	Ranheim Fotball	925000.0	2000.0
S. Scherder	25.0	Germany		775000.0	2000.0
Venanzio Meirás	30.0	Brazil	Chapecoense	725000.0	6000.0
João Pedro	25.0	Brazil	Al Fateh	9500000.0	10000.0
L. Duarte	27.0	Netherlands	Heracles Almelo	775000.0	3000.0
Quintanilla	27.0	Spain	Córdoba CF		3000.0
E. Carvajal	29.0	Chile	Deportes Iquique	600000.0	2000.0
Néstor Albiach	25.0	Spain	Sparta Praha	925000.0	
A. DeLaGarza	30.0	Guam	Houston Dynamo	550000.0	3000.0
A. Durak	31.0	Turkey	Çaykur Rizespor	525000.0	5000.0
T. Haye	23.0	Netherlands	Lecce		2000.0
J. Steele	27.0	England	Brighton & Hove Albion	650000.0	11000.0
P. Vlachodimos	26.0	Greece	Nîmes Olympique	825000.0	6000.0
D. Bohar	26.0	Slovenia	Zagłębie Lubin	825000.0	3000.0
H. Elhouni	24.0	Libya	CD Aves	1000000.0	4000.0
L. Nestor	29.0	France	Valenciennes FC	675000.0	3000.0
J. Thomassen	30.0	Norway	Sarpsborg 08 FF	550000.0	2000.0
S. Lewerenz	27.0	Germany	Holstein Kiel	800000.0	5000.0
Leandro	25.0	Brazil	Kashima Antlers	925000.0	4000.0
R. Colclough	23.0	England		1000000.0	4000.0
J. Ampuero	31.0	Chile	Unión Española	525000.0	2000.0
C. Acuña	30.0	Paraguay	Albacete BP	725000.0	4000.0
A. Radovanović	24.0	Serbia	Racing Club de Lens	850000.0	3000.0
W. Moimbé-Tahrat	29.0	France	AS Nancy Lorraine	575000.0	3000.0
R. de Boer	20.0	Netherlands	AZ Alkmaar	1000000.0	3000.0
T. Ebner	26.0	Austria	FK Austria Wien	750000.0	6000.0
A. Vindheim	22.0	Norway	Malmö FF	900000.0	2000.0
L. Acevedo	26.0	Argentina	San Martin de Tucumán	800000.0	4000.0
S. Zúñiga	28.0	Chile	Curicó Unido	775000.0	2000.0
E. Friberg	32.0	Sweden	BK Häcken	575000.0	2000.0
A. Oshilaja	25.0	England	AFC Wimbledon	825000.0	3000.0
G. Herrera	34.0	Argentina	Rosario Central	6000000.0	6000.0
J. Nyholm	24.0	Sweden		900000.0	3000.0
D. Nishi	30.0	Japan	Kashima Antlers	550000.0	4000.0
Nadjack	24.0	Guinea Bissau	Rio Ave FC	850000.0	3000.0
K. Broadfoot	33.0	Scotland	Kilmarnock	300000.0	3000.0
K. Omori	26.0	Japan	FC Tokyo	825000.0	4000.0
K. Begois	36.0	Belgium	FC Groningen	100000.0	2000.0
Alemão	31.0	Brazil	Pohang Steelers	525000.0	3000.0
T. Asta-Buruaga		Chile	CD Antofagasta	1000000.0	1000.0
K. Azamoum	28.0	France	Cádiz CF	625000.0	4000.0
A. Mozo	21.0	Mexico	U.N.A.M.	900000.0	5000.0
S. Nagasawa	29.0	Japan	Vissel Kobe	750000.0	
Jorge Fellipe	29.0	Brazil	CD Aves	600000.0	4000.0
M. Rutten	25.0		VVV-Venlo	800000.0	3000.0
Neris	26.0	Brazil	Boavista FC	850000.0	3000.0
Moon Chang Jin	24.0	Korea Republic	Gangwon FC	975000.0	2000.0
J. Mena	29.0	Colombia	Club Atlético Aldosivi	675000.0	4000.0
C. Espinosa	35.0	Chile	Curicó Unido	325000.0	1000.0
A. Nkaka		Belgium	KV Oostende	925000.0	4000.0
F. Concas	31.0	Italy	Carpi	675000.0	2000.0
A. Coșelev	24.0	Moldova	Fortuna Sittard	725000.0	2000.0
D. Kolovos	25.0	Greece	Willem II	975000.0	
J. Perch		England	Scunthorpe United	450000.0	4000.0
Rafael de Aseiro	26.0	Brazil	Sport Club do Recife	525000.0	4000.0
J. Anibaba	29.0	United States	New England Revolution	600000.0	3000.0
T. Sana	28.0	Sweden	Aarhus GF	800000.0	6000.0
P. Papp	28.0	Romania	Sivasspor	625000.0	5000.0
T. Tzandaris	25.0	Greece	Panathinaikos FC	800000.0	1000.0
A. Oumarou	31.0	Cameroon	Al Qadisiyah	675000.0	8000.0
	29.0	Korea Republic	Gangwon FC	525000.0	2000.0
I. Kecojević	30.0	Montenegro	Cádiz CF	575000.0	3000.0
	24.0	Mexico	Querétaro	725000.0	3000.0
L. López	24.0	Mexico	Club León	6000000.0	8000.0
A. Sedlar	26.0		Piast Gliwice	800000.0	3000.0
A. Woodyard	25.0	England	Peterborough United	825000.0	4000.0
I. Koné	27.0	France	KSV Cercle Brugge	0.0	5000.0
J. Hernández	32.0	Colombia	Deportivo Pasto	12000000.0	1000.0
J. Espinoza	26.0	Chile	CD O'Higgins	650000.0	4000.0
L. Dvali	23.0	Georgia	Pogoń Szczecin	900000.0	2000.0
T. Ugajin	30.0	Japan	Urawa Red Diamonds	725000.0	5000.0
Abraham	32.0		Gimnàstic de Tarragona	425000.0	3000.0
G. Edwards	25.0	Wales	Ipswich Town	950000.0	4000.0
J. Zuluaga	25.0		Jaguares de Córdoba	825000.0	1000.0
A. Lundqvist	24.0	Sweden	Houston Dynamo	875000.0	2000.0
C. Wyke	25.0	England	Sunderland	975000.0	5000.0
	26.0	Belgium		800000.0	4000.0
P. Mullins	26.0	United States	Columbus Crew SC	925000.0	3000.0
T. Sekine		Japan	Sint-Truidense VV	1000000.0	8000.0
I. Franjić	30.0	Australia	Perth Glory	550000.0	2000.0
M. Boxall	29.0	New Zealand	Minnesota United FC	600000.0	3000.0
J. Schoop	29.0	Denmark	Vejle Boldklub	725000.0	4000.0
C. Traoré	26.0	Mali	FC Nantes	2200000.0	8000.0
J. Williams	30.0	United States	Columbus Crew SC	2300000.0	3000.0
A. Jackson	24.0	England		975000.0	4000.0
L. Povea	24.0	Chile	CD Huachipato	1000000.0	2000.0
S. Ngom	25.0	Senegal	FC Nantes	1000000.0	9000.0
Adaílton		Brazil	Júbilo Iwata	825000.0	3000.0
A. Bell	24.0	England	Blackburn Rovers	900000.0	11000.0
B. Galloway	22.0	England	Everton	850000.0	
F. Bravo	24.0		Patronato	925000.0	4000.0
Rubén Yáñez	24.0		Getafe CF	725000.0	5000.0
H. Belkebla	24.0	Algeria	Stade Brestois 29	900000.0	2000.0
Y. Mutō	29.0	Japan	Urawa Red Diamonds	10000000.0	5000.0
P. Frattali	32.0	Italy	Parma		10000.0
Yu Dabao	30.0	China PR	Beijing Sinobo Guoan FC	725000.0	7000.0
C. Noone	30.0	England	Bolton Wanderers	725000.0	4000.0
D. Kempe		Germany	FC Erzgebirge Aue	425000.0	3000.0
J. Thomsen	36.0	Denmark	Randers FC	90000.0	3000.0
Derik	25.0	Spain	CD Numancia	825000.0	4000.0
N. Lomb	24.0	Germany	SV Sandhausen	725000.0	10000.0
S. Traut	33.0	Germany	VfR Aalen	290000.0	1000.0
J. Ryan	29.0	Republic of Ireland	Blackpool	725000.0	4000.0
J. Morris	26.0	England	Scunthorpe United	2500000.0	4000.0
S. Aytaç	26.0	Turkey		725000.0	5000.0
J. Opoku	28.0	Netherlands	VVV-Venlo	775000.0	4000.0
S. Sutter	32.0	Switzerland	Orlando City SC	425000.0	3000.0
R. Vloet	23.0	Netherlands	Frosinone	1000000.0	5000.0
I. Depe	25.0	Turkey	Kasimpaşa SK	900000.0	5000.0
G. Gotti	24.0	Argentina	Club Deportes Temuco		
Zhao Mingjian	30.0	China PR	Hebei China Fortune FC	550000.0	5000.0
V. Rennella		France	Extremadura UD	750000.0	3000.0
Nacho	25.0	Spain	CD Numancia	4300000.0	4000.0
Ícaro	29.0	Brazil	CD Tondela	600000.0	2000.0
A. Crawford	26.0	Scotland	Doncaster Rovers	875000.0	4000.0
A. Ajeti	24.0	Albania	Grasshopper Club Zürich	8000000.0	4000.0
I. Vetokele	26.0	Angola	Charlton Athletic	925000.0	
B. Aloé	24.0	France	Valenciennes FC	975000.0	2000.0
M. Al Kuwaykibi	23.0	Saudi Arabia	Ettifaq FC	1000000.0	
Z. Ismail	24.0	England	Walsall	975000.0	3000.0
A. Martinelli	25.0	Switzerland	Brescia	800000.0	2000.0
K. Henry	35.0	England	Bradford City	180000.0	3000.0
Mandi	29.0	Spain	Wellington Phoenix	600000.0	2000.0
M. Sarr	24.0	France	Charlton Athletic	8500000.0	4000.0
C. Monschein	25.0	Austria	FK Austria Wien	975000.0	6000.0
L. Belingheri		Italy	Padova	325000.0	1000.0
J. Nerwinski	23.0	United States	Vancouver Whitecaps FC	875000.0	2000.0
	34.0	England	Southend United	1200000.0	4000.0
Cesinha	28.0	Brazil	Daegu FC	775000.0	3000.0
M. Escudero	29.0	Argentina	Patronato	675000.0	5000.0
J. Rivas	33.0	Mexico	Tiburones Rojos de Veracruz	300000.0	15000.0
E. Kılınç	23.0	Turkey	Sivasspor	1000000.0	5000.0
	31.0	Spain	Albacete BP	650000.0	3000.0
F. Sears	28.0	England	Ipswich Town	800000.0	4000.0
Kang Min Soo	32.0		Ulsan Hyundai FC	450000.0	3000.0
T. Miller	25.0	United States	Los Angeles FC	750000.0	2000.0
R. Fennell	29.0	United States	VfR Aalen	600000.0	1000.0
M. Ibáñez	31.0	Argentina	Club Atlético Lanús	475000.0	
A. Arrighini		Italy		800000.0	
L. Kozák	29.0	Czech Republic	Livorno	750000.0	2000.0
T. Hoban	24.0	Republic of Ireland	Aberdeen	825000.0	13000.0
B. Romero	27.0	Argentina	Independiente	900000.0	8000.0
R. Perticone	31.0	Italy	US Salernitana 1919	500000.0	
G. Tello	25.0	Chile	Unión Española	950000.0	2000.0
I. Pallas	35.0	Uruguay	Puebla FC	180000.0	2000.0
J. Clément	33.0	France		300000.0	3000.0
C. Songkrasin	24.0	Thailand	Hokkaido Consadole Sapporo	975000.0	2000.0
Quim Araujo	30.0	Spain	Córdoba CF	725000.0	4000.0
T. Wachsmuth	31.0	Germany	FSV Zwickau	525000.0	1000.0
J. Harvey	34.0	United States	Los Angeles FC	220000.0	3000.0
K. Pusch		Germany	1. FC Heidenheim 1846		5000.0
K. Ota	30.0	Japan	FC Tokyo	550000.0	4000.0
J. McCarthy		England		7500000.0	3000.0
André Bahia	34.0	Brazil	Shonan Bellmare	230000.0	2000.0
B. Kopplin	29.0	Germany		575000.0	9000.0
S. Contessa	28.0	Italy	Padova	600000.0	
J. Löhmannsröben	27.0	Germany	1. FC Kaiserslautern	750000.0	2000.0
T. Rowe	29.0	England	Doncaster Rovers	750000.0	4000.0
M. Răduţ	28.0	Romania	Lech Poznań	775000.0	4000.0
M. Hamdaoui	25.0	Netherlands	De Graafschap	950000.0	3000.0
D. Bamba	23.0	Ivory Coast	SK Brann	1000000.0	2000.0
H. Berríos	31.0	Chile	CD Universidad de Concepción	500000.0	2000.0
M. El Allouchi	23.0	Morocco	NAC Breda	1000000.0	3000.0
M. Barreto	27.0	France	AJ Auxerre	875000.0	3000.0
F. Tardieu	26.0	France	SV Zulte-Waregem	800000.0	5000.0
A. Barbaro	26.0	Argentina	Independiente Medellín	900000.0	2000.0
C. Verdonk	21.0	Netherlands	Feyenoord	900000.0	3000.0
Eddy Silvestre	25.0	Azerbaijan	AD Alcorcón	825000.0	3000.0
Z. MacMath	26.0	United States	Colorado Rapids	625000.0	2000.0
M. Sao	28.0	France	Red Star FC	775000.0	3000.0
T. Bingöl	25.0	Turkey		950000.0	8000.0
M. Busch	23.0	Germany	1. FC Heidenheim 1846	850000.0	4000.0
B. Smith	24.0	Australia	Seattle Sounders FC	850000.0	15000.0
E. Suagher	25.0		Carpi	800000.0	8000.0
C. Flórez	23.0	Colombia	Alianza Petrolera	825000.0	1000.0
T. Ebuehi	22.0	Nigeria	SL Benfica	850000.0	3000.0
Kaio Aldair	26.0	Brazil	Paraná	650000.0	7000.0
I. Groothuizen	21.0	Netherlands	ADO Den Haag	850000.0	2000.0
Provencio	30.0	Spain	Elche CF	700000.0	3000.0
Jairo Morillas	24.0	Spain	V-Varen Nagasaki	1000000.0	2000.0
M. Al Fatil	26.0	Saudi Arabia	Al Ahli	825000.0	11000.0
T. Deng	21.0	Australia	Melbourne Victory	875000.0	2000.0
V. Luchkevych	22.0	Ukraine	Standard de Liège	1000000.0	5000.0
J. Edmundsson	26.0		DSC Arminia Bielefeld	825000.0	5000.0
G. Long	24.0	England	Hull City	725000.0	6000.0
J. Radošević	24.0	Croatia	Brøndby IF	900000.0	
M. Pennington	23.0	England	Ipswich Town	1000000.0	3000.0
Z. Ondrášek	29.0	Czech Republic	Wisła Kraków	750000.0	3000.0
C. Remmer	25.0	Denmark	Molde FK		3000.0
	24.0	Netherlands	FC Emmen		5000.0
F. Lewis	25.0	Netherlands	Willem II	800000.0	3000.0
J. Vásquez		Colombia	Rionegro Águilas	575000.0	1000.0
	26.0	Australia	FK Austria Wien	800000.0	6000.0
Alemão	27.0	Brazil			4000.0
Y. Coulibaly	23.0	Burkina Faso	Le Havre AC	875000.0	3000.0
F. Saavedra	32.0	Chile	Unión La Calera		1000.0
R. Framberger	22.0	Germany	FC Augsburg	950000.0	6000.0
S. Aluko	29.0	Nigeria	Reading	750000.0	13000.0
M. Power	24.0	England	Sunderland	875000.0	13000.0
F. Valot	25.0	France		950000.0	3000.0
J. Kalla	31.0	Germany	FC St. Pauli	500000.0	6000.0
M. Parensen	32.0	Germany	1. FC Union Berlin	425000.0	9000.0
Rodri Tarín	21.0	Spain	CD Leganés	975000.0	6000.0
A. Mbekile		South Africa	Orlando Pirates	500000.0	1000.0
R. Arias	25.0	Uruguay	Ettifaq FC	750000.0	8000.0
L. Schweers	22.0	Germany	SC Preußen Münster	900000.0	2000.0
H. Hansson	25.0	Faroe Islands	AC Horsens	900000.0	4000.0
H. Cummings	26.0	Panama	San Jose Earthquakes	750000.0	3000.0
T. Kløve	27.0	Denmark	Odense Boldklub	800000.0	5000.0
E. Mosquera	27.0	Colombia	Independiente Medellín	625000.0	2000.0
G. Di Chiara	24.0	Italy	Benevento	850000.0	2000.0
	28.0	Portugal	CD Feirense	800000.0	5000.0
N. Solís	24.0	Argentina	San Martín de San Juan	1000000.0	7000.0
W. Cartagena	23.0	Peru	Tiburones Rojos de Veracruz	900000.0	3000.0
D. Dervite	29.0	France	Sporting de Charleroi	600000.0	5000.0
		Korea Republic	Suwon Samsung Bluewings	825000.0	3000.0
E. Palomino	32.0	Colombia	Deportivo Pasto	600000.0	1000.0
	28.0	Sweden	AIK	600000.0	3000.0
V. Kostevych	25.0	Ukraine	Lech Poznań	725000.0	3000.0
D. Rowe	26.0	England	Ipswich Town	825000.0	4000.0
Diego Maurício	27.0	Brazil	Gangwon FC	800000.0	3000.0
M. Guidone	32.0	Italy	Padova	600000.0	2000.0
	31.0	England	Rotherham United	900000.0	10000.0
S. Ishizaki	36.0	Sweden	IF Elfsborg	240000.0	2000.0
B. van Hintum	31.0	Netherlands	Heracles Almelo	500000.0	3000.0
E. Brítez	26.0	Argentina	Independiente	775000.0	5000.0
S. Aresti		Italy	Cagliari	450000.0	8000.0
W. Pacheco	23.0	Colombia	La Equidad	950000.0	1000.0
K. Fisker	30.0	Denmark	Brøndby IF	700000.0	9000.0
T. Rogne	28.0	Norway	Lech Poznań	700000.0	4000.0
B. Rymaniak	28.0	Poland	Korona Kielce	600000.0	2000.0
R. McGowan	28.0	Australia	Bradford City	625000.0	4000.0
D. Bingham	28.0	United States	LA Galaxy	650000.0	
S. Bradley	26.0		Luton Town	750000.0	4000.0
Tiago Gomes	31.0		CD Feirense	500000.0	
D. Marsura	24.0	Italy	Venezia FC	1000000.0	
S. Zurbriggen	28.0	Argentina	Unión de Santa Fe	625000.0	
N. Valentini	29.0	Argentina	Ascoli	600000.0	2000.0
C. Seitz	31.0	United States	Houston Dynamo	475000.0	2000.0
A. Winter	31.0	Switzerland	FC Zürich	675000.0	5000.0
L. Azouni	24.0	Tunisia		975000.0	5000.0
K. Larsen	25.0	Denmark	IFK Norrköping	825000.0	2000.0
J. Coppinger	37.0	England	Doncaster Rovers	260000.0	3000.0
L. Feeney	31.0	England	Blackpool	675000.0	4000.0
K. Cissé		Guinea		750000.0	2000.0
H. Martínez	31.0	Chile	CD Universidad de Concepción	525000.0	2000.0
C. Townsend	25.0	England	West Bromwich Albion		10000.0
L. Delgado	37.0	Colombia	Atlético Bucaramanga	50000.0	1000.0
F. Heerkens	28.0	Netherlands	Willem II	625000.0	3000.0
T. Dierckx	23.0	Belgium	Waasland-Beveren	1000000.0	4000.0
J. De la Cuesta	35.0	Colombia	Deportivo Pasto	180000.0	1000.0
J. Martínez	31.0	Mexico	Pachuca	22500000.0	9000.0
J. Spearing	29.0		Blackpool	725000.0	4000.0
J. Edwards	27.0	England	Walsall	775000.0	3000.0
J. Gonzalez		United States	FC Dallas	950000.0	2000.0
K. Karami	28.0	Morocco	Vitesse	600000.0	5000.0
N. Lozano	24.0	Colombia	Elche CF	875000.0	2000.0
L. Camp	33.0	Northern Ireland	Birmingham City	375000.0	7000.0
L. Hyam	26.0		Southend United	875000.0	4000.0
O. Vásquez		Colombia	Rionegro Águilas	775000.0	1000.0
M. Polster	25.0	United States	Chicago Fire	850000.0	3000.0
Gonzalo Verdú	29.0		Elche CF	600000.0	3000.0
A. Halliday	26.0	Scotland	Rangers FC	725000.0	15000.0
J. Stojanović	26.0	Serbia	KV Kortrijk	925000.0	5000.0
J. Burić	31.0	Bosnia Herzegovina	Lech Poznań	475000.0	3000.0
Rufo	25.0	Spain		1000000.0	2000.0
T. Hysén	36.0	Sweden	IFK Göteborg	270000.0	2000.0
Yun Suk Young	28.0	Korea Republic		600000.0	4000.0
N. Palacios	26.0	Colombia	Patriotas Boyacá FC		1000.0
Jhonnattann	28.0	Brazil	Al Taawoun	775000.0	8000.0
D. Efremov	23.0	Russia	PFC CSKA Moscow	1000000.0	1000.0
B. San Juan	24.0	Chile	CD O'Higgins	900000.0	2000.0
Zhao Xuri	32.0	China PR	Tianjin Quanjian FC	575000.0	8000.0
K. Luijckx	32.0	Netherlands	SønderjyskE	450000.0	5000.0
Tiago Caeiro	34.0	Portugal	Os Belenenses	400000.0	
S. Moreo	25.0	Italy	Palermo	1000000.0	2000.0
L. Maciel	22.0	Argentina	Club Atlético Lanús	975000.0	5000.0
Ibson Melo	28.0	Brazil	Clube Sport Marítimo	775000.0	4000.0
N. Hagglund	25.0	United States		825000.0	3000.0
G. Gutiérrez	28.0	Colombia	Junior FC	600000.0	2000.0
	19.0	Greece		1000000.0	1000.0
J. Valencia	23.0	Ecuador	Piast Gliwice	1600000.0	3000.0
K. Nagasawa	26.0	Japan	Urawa Red Diamonds	800000.0	5000.0
I. Yagan	28.0	Armenia	KAS Eupen	775000.0	5000.0
A. Bruce	33.0		Wigan Athletic	300000.0	16000.0
M. Bokadi	26.0	DR Congo	Standard de Liège	825000.0	5000.0
Cleylton	25.0	Brazil	Os Belenenses	825000.0	2000.0
Ilsinho	32.0	Brazil	Philadelphia Union	600000.0	3000.0
M. Jarvis	32.0	England	Norwich City	600000.0	10000.0
F. Carvalho	24.0	Uruguay	Vålerenga Fotball	900000.0	2000.0
Ricardo Machado	29.0	Portugal	Al Taawoun	600000.0	7000.0
M. Vigorito	28.0	Italy	Lecce	525000.0	1000.0
S. Gallucci	27.0	Argentina	Unión Española	750000.0	2000.0
F. Manzano	24.0	Chile	CD Palestino	925000.0	3000.0
B. Sweat	26.0	United States	New York City FC	725000.0	
V. Rodić	24.0	Montenegro	Hammarby IF	975000.0	2000.0
M. Figueroa	35.0	Honduras	FC Dallas	160000.0	2000.0
M. Čovilo	32.0	Serbia	FC Lugano	450000.0	3000.0
N. Ramos	36.0	Colombia	Atlético Bucaramanga	100000.0	1000.0
A. Grant	31.0	England	Shrewsbury		4000.0
L. Brattan	28.0	Australia	Melbourne City FC	625000.0	4000.0
H. Jimenez	29.0	United States	Columbus Crew SC	575000.0	3000.0
V. Vermeij	23.0	Netherlands	Heracles Almelo	1000000.0	3000.0
S. Muroya	24.0	Japan	FC Tokyo	825000.0	3000.0
F. N'Goma		France	Stade Brestois 29	950000.0	3000.0
M. Lekven	30.0	Norway	Vålerenga Fotball	700000.0	2000.0
R. Tafazolli	26.0	England	Peterborough United	750000.0	4000.0
F. Telechea	36.0		Club Atlético Aldosivi	270000.0	4000.0
J. Hergault	32.0	France	AC Ajaccio	425000.0	3000.0
T. Loska	22.0	Poland	Górnik Zabrze	850000.0	2000.0
L. Geminiani	27.0	Argentina	Patronato	700000.0	5000.0
G. Arteaga	19.0	Mexico	Santos Laguna	925000.0	3000.0
C. Del Grosso	35.0	Italy	Pescara	160000.0	1000.0
D. Srbeny	24.0	Germany		1000000.0	9000.0
R. Meara	27.0	Republic of Ireland	New York Red Bulls	625000.0	2000.0
E. Acolatse	22.0	Netherlands	Sint-Truidense VV	1000000.0	4000.0
M. Garrido	32.0	Argentina	Patronato	600000.0	
	34.0	Scotland	Kilmarnock	900000.0	3000.0
B. Vides	25.0	Argentina	Club Atlético Lanús	1000000.0	7000.0
L. Comas	23.0	Argentina	Patronato	1000000.0	5000.0
